source,destination,service_type,fare
ATB0,BEL3,Bengaluru Sarige,28
ATB0,BGSHM,Bengaluru Sarige,32
ATB0,BGYNG,Bengaluru Sarige,30
ATB0,BSPR,Bengaluru Sarige,30
ATB0,BSVNDTN,Bengaluru Sarige,30
ATB0,BTDP,Bengaluru Sarige,30
ATB0,BTDPR,Bengaluru Sarige,28
ATB0,BTSCRO,Bengaluru Sarige,28
ATB0,CKPLC,Bengaluru Sarige,30
ATB0,CNCAP,Bengaluru Sarige,28
ATB0,DRC,Bengaluru Sarige,30
ATB0,DRC,Electric,30
ATB0,GLF,Bengaluru Sarige,30
ATB0,GTR2,Bengaluru Sarige,30
ATB0,HDVH,Bengaluru Sarige,30
ATB0,HMDHL,Bengaluru Sarige,30
ATB0,IAHF,Bengaluru Sarige,32
ATB0,JBS2,Bengaluru Sarige,30
ATB0,JNHR1,Bengaluru Sarige,30
ATB0,JNHR1,Electric,30
ATB0,KBS1,Bengaluru Sarige,30
ATB0,KBS1,Electric,30
ATB0,KGR2,Bengaluru Sarige,32
ATB0,KHRD,Bengaluru Sarige,30
ATB0,KHRD,Electric,30
ATB0,KKC,Bengaluru Sarige,30
ATB0,KNB1,Bengaluru Sarige,30
ATB0,KNC,Bengaluru Sarige,30
ATB0,LGHM,Electric,30
ATB0,LKS,Bengaluru Sarige,30
ATB0,LKS,Electric,30
ATB0,MAC1,Bengaluru Sarige,32
ATB0,MHW,Bengaluru Sarige,30
ATB0,MHW,Electric,30
ATB0,MLSC,Bengaluru Sarige,30
ATB0,MYL,Bengaluru Sarige,30
ATB0,NLDRN,Bengaluru Sarige,28
ATB0,NMH,Bengaluru Sarige,30
ATB0,NMH,Electric,30
ATB0,OMKH,Bengaluru Sarige,32
ATB0,PLPLN,Bengaluru Sarige,30
ATB0,PTLMT3,Bengaluru Sarige,32
ATB0,RGMN1,Bengaluru Sarige,30
ATB0,SBRKEB,Bengaluru Sarige,30
ATB0,SDA,Bengaluru Sarige,32
ATB0,SDMKMT,Bengaluru Sarige,30
ATB0,SMSNS,Bengaluru Sarige,28
ATB0,STJH,Bengaluru Sarige,30
ATB0,STJH,Electric,30
ATB0,STMSC,Bengaluru Sarige,30
ATB0,TGRC,Bengaluru Sarige,28
ATB0,UTHWT12,Bengaluru Sarige,32
ATB0,VDRPL,Bengaluru Sarige,30
ATB0,VPLT,Bengaluru Sarige,30
ATB0,VSNTP,Bengaluru Sarige,30
ATB0,VSPL,Bengaluru Sarige,30
ATB0,VTTMC,Electric,32
ATB0,WG7,Electric,30
ATB0,WGPC,Bengaluru Sarige,30
ATB0,WGPC,Electric,30
ATB0,WPTGT1,Bengaluru Sarige,28
ATB0,YDLNR,Bengaluru Sarige,30
ATBCR1,ANKL,Bengaluru Sarige,24
ATBCR1,ANKL,Electric,24
ATBCR1,DMSCR,Bengaluru Sarige,28
ATBCR1,DMSCR,Electric,28
ATBCR1,HSKSTP,Bengaluru Sarige,32
ATBCR1,HSKSTP,Electric,32
ATBCR1,JNOF PND,Bengaluru Sarige,28
ATBCR1,JNOF PND,Electric,28
ATBLE,BDPC-2,Bengaluru Sarige,18
ATBLE,BLP-5,Bengaluru Sarige,23
ATBLE,BLRG2,Bengaluru Sarige,18
ATBLE,DEVCRS,Bengaluru Sarige,6
ATBLE,DVHOBS2,Bengaluru Sarige,28
ATBLE,DVNWSTD,Bengaluru Sarige,28
ATBLE,HSKSTP,Bengaluru Sarige,23
ATBLE,MLP-3,Bengaluru Sarige,23
ATBLE,NGNHL,Bengaluru Sarige,23
ATBLE,NLPH,Bengaluru Sarige,23
ATBLE,pln12,Bengaluru Sarige,24
ATBLE,PNHC-1,Bengaluru Sarige,12
ATBLE,SADGT,Bengaluru Sarige,6
ATBLE,SLB1,Bengaluru Sarige,6
ATBLE,SLBKEB-1,Bengaluru Sarige,6
ATBLE,TAGRH,Bengaluru Sarige,24
ATBLE,YNGTE1,Bengaluru Sarige,6
ATBL,ASCC,Bengaluru Sarige,30
ATBL,CSB5,Bengaluru Sarige,30
ATBL,D38CHKNML,Bengaluru Sarige,24
ATBL,HLG,Bengaluru Sarige,23
ATBL,INDRSDM,Bengaluru Sarige,30
ATBL,KRMDTTMC,Bengaluru Sarige,30
ATBL,KRMPPO1,Bengaluru Sarige,30
ATBL,NGVG1,Bengaluru Sarige,30
ATBL,RVT,Bengaluru Sarige,30
ATBL,SMPNGT,Bengaluru Sarige,24
ATBL,VANPT,Bengaluru Sarige,30
ATBL,VVKC2,Bengaluru Sarige,30
ATBS,KAMPR,Bengaluru Sarige,18
ATBS,MNH,Bengaluru Sarige,12
ATBS,MNHC,Bengaluru Sarige,6
ATGP,AJN7,Electric,24
ATGP,ANPNC,Electric,24
ATGP,APXB,Bengaluru Sarige,23
ATGP,AVLH-2,Bengaluru Sarige,18
ATGP,BDH2,Electric,24
ATGP,BNGDY,Bengaluru Sarige,23
ATGP,BNGH,Bengaluru Sarige,24
ATGP,CC,Electric,24
ATGP,CDNJP,Bengaluru Sarige,28
ATGP,CKGLH1,Electric,28
ATGP,CLO,Bengaluru Sarige,12
ATGP,CLO1,Bengaluru Sarige,12
ATGP,CMH3,Bengaluru Sarige,28
ATGP,CMRJPT,Bengaluru Sarige,24
ATGP,CPRM,Bengaluru Sarige,18
ATGP,CSBHTNIYURB VJ,Electric,24
ATGP,D35G,Electric,28
ATGP,DPC,Electric,23
ATGP,EWCC9,Electric,24
ATGP,FRSTG1,Electric,28
ATGP,GBZR,Bengaluru Sarige,23
ATGP,GLH7,Electric,24
ATGP,GTNGNR,Bengaluru Sarige,30
ATGP,HNTMWRD,Bengaluru Sarige,23
ATGP,HRHC1,Electric,24
ATGP,ITILO,Electric,23
ATGP,JBSCT,Bengaluru Sarige,24
ATGP,JNN4,Bengaluru Sarige,24
ATGP,JNR4T1,Bengaluru Sarige,24
ATGP,KBS1,Bengaluru Sarige,28
ATGP,KCHG1,Electric,28
ATGP,KDGC,Electric,28
ATGP,KDH4,Bengaluru Sarige,28
ATGP,KFCPS3,Bengaluru Sarige,28
ATGP,KLESC,Electric,24
ATGP,KRLB,Electric,30
ATGP,MCHG1,Electric,28
ATGP,MDNPL1,Electric,24
ATGP,MDVNP,Bengaluru Sarige,24
ATGP,MHC,Bengaluru Sarige,28
ATGP,MKLK2,Bengaluru Sarige,24
ATGP,MLS,Electric,30
ATGP,MRNHPB,Bengaluru Sarige,24
ATGP,NBVB0,Bengaluru Sarige,23
ATGP,NIRMS,Bengaluru Sarige,23
ATGP,PNCR,Bengaluru Sarige,18
ATGP,P[DP,Bengaluru Sarige,23
ATGP,RCHMDCR,Bengaluru Sarige,23
ATGP,SGHLG,Electric,28
ATGP,SNPLY,Bengaluru Sarige,12
ATGP,STMH,Bengaluru Sarige,28
ATGP,TPS1,Bengaluru Sarige,28
ATGP,VOGDL,Bengaluru Sarige,12
ATL1,ABKR,Bengaluru Sarige,30
ATL1,ABKR,Electric,30
ATL1,ARPT,Bengaluru Sarige,28
ATL1,BCHG,Bengaluru Sarige,30
ATL1,BCHL45,Bengaluru Sarige,30
ATL1,BCHL45,Electric,30
ATL1,BELCRL,Electric,23
ATL1,BEML5,Bengaluru Sarige,30
ATL1,BEML5,Electric,30
ATL1,BETHLI,Bengaluru Sarige,6
ATL1,BHEL1,Bengaluru Sarige,30
ATL1,BHEL1,Electric,30
ATL1,bstc-1,Bengaluru Sarige,18
ATL1,BSVHC1,Bengaluru Sarige,30
ATL1,BVHGD,Bengaluru Sarige,30
ATL1,CHKBC,Bengaluru Sarige,12
ATL1,CHKHLY,Bengaluru Sarige,6
ATL1,CKHJ,Bengaluru Sarige,24
ATL1,CKPJ,Bengaluru Sarige,30
ATL1,CKPJ,Electric,30
ATL1,CLO1,Electric,30
ATL1,CSN,Bengaluru Sarige,30
ATL1,D45G,Bengaluru Sarige,12
ATL1,DBG,Bengaluru Sarige,30
ATL1,DBSY1,Bengaluru Sarige,24
ATL1,DHC1,Bengaluru Sarige,30
ATL1,GGDKMT,Bengaluru Sarige,24
ATL1,GLHS,Bengaluru Sarige,30
ATL1,GLHS,Electric,30
ATL1,GNARLY1,Bengaluru Sarige,23
ATL1,GNKL5,Bengaluru Sarige,30
ATL1,GNKL5,Electric,30
ATL1,GUHL,Bengaluru Sarige,30
ATL1,GVTSF1,Bengaluru Sarige,28
ATL1,GVTSF1,Electric,28
ATL1,HCKH,Bengaluru Sarige,28
ATL1,HGT1,Bengaluru Sarige,28
ATL1,HGVTB,Bengaluru Sarige,28
ATL1,HLGVDH,Bengaluru Sarige,30
ATL1,HLGVDH,Electric,30
ATL1,HRNI,Bengaluru Sarige,30
ATL1,HSKC,Bengaluru Sarige,30
ATL1,HVH1,Bengaluru Sarige,30
ATL1,HVH1,Electric,30
ATL1,ISKcON,Bengaluru Sarige,28
ATL1,ISKcON,Electric,28
ATL1,ITF,Bengaluru Sarige,28
ATL1,JNKLO,Bengaluru Sarige,30
ATL1,JNKLO,Electric,30
ATL1,KLTH,Bengaluru Sarige,23
ATL1,KMGT,Bengaluru Sarige,28
ATL1,KMNR,Bengaluru Sarige,28
ATL1,KNG12,Bengaluru Sarige,30
ATL1,KNHRMN,Bengaluru Sarige,18
ATL1,KRYP80ft,Bengaluru Sarige,30
ATL1,KRYP80ft,Electric,30
ATL1,KVMC,Bengaluru Sarige,30
ATL1,KVMC,Electric,30
ATL1,LAMACH,Bengaluru Sarige,12
ATL1,LKPC-12,Bengaluru Sarige,18
ATL1,MDAGHR1,Bengaluru Sarige,23
ATL1,MDYK,Bengaluru Sarige,6
ATL1,MGDRT9,Bengaluru Sarige,30
ATL1,MGDRT9,Electric,30
ATL1,MGLY,Bengaluru Sarige,28
ATL1,MGLY,Electric,28
ATL1,MKTH,Bengaluru Sarige,28
ATL1,MLKBT,Bengaluru Sarige,30
ATL1,MLKBT,Electric,30
ATL1,MNJURC,Bengaluru Sarige,28
ATL1,MNJURC,Electric,28
ATL1,MNVA,Bengaluru Sarige,30
ATL1,MNVA,Electric,30
ATL1,MRBGH,Bengaluru Sarige,30
ATL1,MRBGH,Electric,30
ATL1,MRMS,Bengaluru Sarige,30
ATL1,MRMS,Electric,30
ATL1,NBWSSB,Bengaluru Sarige,30
ATL1,NBWSSB,Electric,30
ATL1,NVYGT3,Bengaluru Sarige,28
ATL1,PKGNPL,Bengaluru Sarige,24
ATL1,PLGT1,Bengaluru Sarige,30
ATL1,PTGRJC,Bengaluru Sarige,30
ATL1,PTGRJC,Electric,30
ATL1,RAJDG,Bengaluru Sarige,30
ATL1,RAJDG,Electric,30
ATL1,RGVDMA,Bengaluru Sarige,23
ATL1,RJ ESI,Bengaluru Sarige,28
ATL1,RJ ESI,Electric,28
ATL1,RJJNGR,Bengaluru Sarige,30
ATL1,RJJNGR,Electric,30
ATL1,RJN1B,Bengaluru Sarige,28
ATL1,RJN1B,Electric,28
ATL1,RJNAR,Bengaluru Sarige,30
ATL1,RJNAR,Electric,30
ATL1,RJNP,Bengaluru Sarige,30
ATL1,RMGFY,Bengaluru Sarige,23
ATL1,RMSN,Bengaluru Sarige,28
ATL1,RMSN,Electric,28
ATL1,RRN3,Bengaluru Sarige,30
ATL1,RRN3,Electric,30
ATL1,RRNPB,Bengaluru Sarige,30
ATL1,RRNPB,Electric,30
ATL1,RRS,Bengaluru Sarige,30
ATL1,RRS,Electric,30
ATL1,RRT,Bengaluru Sarige,30
ATL1,RRT,Electric,30
ATL1,SDHG2,Bengaluru Sarige,28
ATL1,SLVPR1,Bengaluru Sarige,24
ATL1,smbc-1,Bengaluru Sarige,18
ATL1,SNAMKR,Bengaluru Sarige,30
ATL1,SVHTL,Bengaluru Sarige,12
ATL1,TBD,Bengaluru Sarige,30
ATL1,THV1,Bengaluru Sarige,30
ATL1,TMLDC,Bengaluru Sarige,6
ATL1,TMLP,Bengaluru Sarige,28
ATL1,TNSC,Bengaluru Sarige,28
ATL1,TRBH,Bengaluru Sarige,24
ATL1,TRBHC,Bengaluru Sarige,28
ATL1,TRH,Bengaluru Sarige,28
ATL1,VDHC-1,Bengaluru Sarige,24
ATL1,VNVVKD,Bengaluru Sarige,30
ATL1,YHKSC,Bengaluru Sarige,18
ATL1,YST,Bengaluru Sarige,6
ATMG1,AKGD1,Bengaluru Sarige,24
ATMG1,ANCPL,Bengaluru Sarige,32
ATMG1,ASRMRMH,Bengaluru Sarige,30
ATMG1,BMNKPC1,Bengaluru Sarige,30
ATMG1,BRHL10,Bengaluru Sarige,30
ATMG1,BSMHL12,Bengaluru Sarige,30
ATMG1,BSVN1,Bengaluru Sarige,32
ATMG1,CDC1,Bengaluru Sarige,30
ATMG1,DAMR,Bengaluru Sarige,30
ATMG1,DBLG,Bengaluru Sarige,23
ATMG1,GDHN,Bengaluru Sarige,28
ATMG1,GNKL123,Bengaluru Sarige,30
ATMG1,HGLH1,Bengaluru Sarige,24
ATMG1,JGF,Bengaluru Sarige,32
ATMG1,KDPNH,Bengaluru Sarige,30
ATMG1,KGPS,Bengaluru Sarige,32
ATMG1,KGR2,Bengaluru Sarige,32
ATMG1,KTHL,Bengaluru Sarige,30
ATMG1,LNGND1,Bengaluru Sarige,24
ATMG1,MCNB,Bengaluru Sarige,23
ATMG1,MGMs1,Bengaluru Sarige,30
ATMG1,MRNDDI,Bengaluru Sarige,6
ATMG1,MTG,Bengaluru Sarige,6
ATMG1,MTG2,Bengaluru Sarige,12
ATMG1,MTV,Bengaluru Sarige,6
ATMG1,NICERD1,Bengaluru Sarige,32
ATMG1,PCHPL,Bengaluru Sarige,30
ATMG1,RMH13,Bengaluru Sarige,30
ATMG1,RMHLC1,Bengaluru Sarige,32
ATMG1,RMPR11,Bengaluru Sarige,28
ATMG1,RRMC1,Bengaluru Sarige,32
ATMG1,SGLHL,Bengaluru Sarige,30
ATMG1,SRYPC,Bengaluru Sarige,30
ATMG1,TVRKT2,Bengaluru Sarige,30
ATMG1,VNYKNG,Bengaluru Sarige,30
ATMNH,KRMDTMC,Bengaluru Sarige,23
ATMNH,RSGN,Bengaluru Sarige,18
ATTGP,ADH1,Bengaluru Sarige,6
ATTGP,ADH1,Electric,6
ATTGP,ANDHGS,Bengaluru Sarige,6
ATTGP,ANDHGS,Electric,6
ATTGP,BSWC,Bengaluru Sarige,28
ATTGP,BSWC,Electric,28
ATTGP,BYSMC,Bengaluru Sarige,28
ATTGP,BYSMC,Electric,28
ATTGP,CBR1st,Bengaluru Sarige,28
ATTGP,CBR1st,Electric,28
ATTGP,CMT,Bengaluru Sarige,24
ATTGP,CNTRL,Bengaluru Sarige,28
ATTGP,DCH,Bengaluru Sarige,24
ATTGP,DCH,Electric,24
ATTGP,GGPL,Bengaluru Sarige,24
ATTGP,GNPT,Bengaluru Sarige,24
ATTGP,GNPT,Electric,24
ATTGP,GRDPC,Bengaluru Sarige,6
ATTGP,GRDPC,Electric,6
ATTGP,JHC4,Bengaluru Sarige,23
ATTGP,KBS1,Bengaluru Sarige,28
ATTGP,KBS1,Electric,28
ATTGP,KLKAT,Bengaluru Sarige,12
ATTGP,KLKAT,Electric,12
ATTGP,KRSNGR1,Bengaluru Sarige,24
ATTGP,KRSNGR1,Electric,24
ATTGP,KRVS,Bengaluru Sarige,23
ATTGP,KRVS,Electric,23
ATTGP,LGRC,Bengaluru Sarige,23
ATTGP,LGRC,Electric,23
ATTGP,MEI2,Bengaluru Sarige,24
ATTGP,MLCPMETC,Bengaluru Sarige,24
ATTGP,MLCPMETC,Electric,24
ATTGP,MLM11C,Bengaluru Sarige,28
ATTGP,MLM8,Bengaluru Sarige,28
ATTGP,MLMC,Bengaluru Sarige,28
ATTGP,NVRNG4,Bengaluru Sarige,28
ATTGP,NVRNG4,Electric,28
ATTGP,OKPRA,Bengaluru Sarige,28
ATTGP,OKPRA,Electric,28
ATTGP,PNY1,Bengaluru Sarige,23
ATTGP,PSS,Bengaluru Sarige,12
ATTGP,PSS,Electric,12
ATTGP,RAJ2B,Bengaluru Sarige,28
ATTGP,RAJ2B,Electric,28
ATTGP,RJNESI,Bengaluru Sarige,28
ATTGP,RJNESI,Electric,28
ATTGP,RJRTI,Bengaluru Sarige,28
ATTGP,RJRTI,Electric,28
ATTGP,RMCY,Bengaluru Sarige,24
ATTGP,RMJT,Bengaluru Sarige,23
ATTGP,RMJT,Electric,23
ATTGP,SJT1,Bengaluru Sarige,28
ATTGP,SJT1,Electric,28
ATTGP,SNKR2,Bengaluru Sarige,24
ATTGP,SNKR2,Electric,24
ATTGP,SNLG,Bengaluru Sarige,23
ATTGP,SNLG,Electric,23
ATTGP,SRNVT,Bengaluru Sarige,24
ATTGP,SRNVT,Electric,24
ATTGP,SRS,Bengaluru Sarige,23
ATTGP,TGP1,Bengaluru Sarige,6
ATTGP,TGP1,Electric,6
ATTGP,TTI1,Bengaluru Sarige,28
AVB1,AVLBDAl,Bengaluru Sarige,6
AVB1,DPKNH,Bengaluru Sarige,23
AVB1,GLF,Bengaluru Sarige,6
AVB1,HUSM,Bengaluru Sarige,23
AVB1,JRGH1,Bengaluru Sarige,18
AVB1,KDWLY1,Bengaluru Sarige,12
AVB1,KNB1,Bengaluru Sarige,12
AVB1,KNC,Bengaluru Sarige,6
AVB1,MKLK,Bengaluru Sarige,28
AVB1,MTR,Bengaluru Sarige,18
AVB1,NDT,Bengaluru Sarige,23
AVB1,NRC KKC,Bengaluru Sarige,18
AVB1,SDMKMT,Bengaluru Sarige,12
AVB1,SECRL,Bengaluru Sarige,23
AVB1,SRK1,Bengaluru Sarige,23
AVB1,TPS4,Bengaluru Sarige,12
AVB1,YDR,Bengaluru Sarige,23
AVB1,YLCH2,Bengaluru Sarige,18
AVDNLIG,ARVDLMT,Bengaluru Sarige,24
AVDNLIG,BMSINDAR,Bengaluru Sarige,24
AVDNLIG,BRDGR,Bengaluru Sarige,24
AVDNLIG,CHODRCR,Bengaluru Sarige,18
AVDNLIG,DRNG,Bengaluru Sarige,24
AVDNLIG,ELC,Bengaluru Sarige,24
AVDNLIG,HLDHI,Bengaluru Sarige,23
AVDNLIG,JOSRMPUR,Bengaluru Sarige,24
AVDNLIG,KDMS5,Bengaluru Sarige,23
AVDNLIG,KDMSC,Bengaluru Sarige,23
AVDNLIG,KRMA,Bengaluru Sarige,30
AVDNLIG,KRPRGH1,Bengaluru Sarige,23
AVDNLIG,KTN,Bengaluru Sarige,24
AVDNLIG,MDWL,Bengaluru Sarige,30
AVDNLIG,MRTNJGN,Bengaluru Sarige,28
AVDNLIG,NVYBADV,Bengaluru Sarige,28
AVDNLIG,OSRCL,Bengaluru Sarige,24
AVDNLIG,RMH2,Bengaluru Sarige,24
AVDNLIG,SRDN,Bengaluru Sarige,18
AVDNLIG,SRIBMS,Bengaluru Sarige,24
AVDNLIG,VNK,Bengaluru Sarige,24
AVDNLIG,YRH,Bengaluru Sarige,24
AVHLY,ARH,Bengaluru Sarige,33
AVHLY,BMKH,Bengaluru Sarige,31
AVHLY,BNHL1,Bengaluru Sarige,33
AVHLY,CKH2,Bengaluru Sarige,27
AVHLY,CKHG,Bengaluru Sarige,27
AVHLY,CKSGT,Bengaluru Sarige,33
AVHLY,CPHG,Bengaluru Sarige,31
AVHLY,CPK-1,Bengaluru Sarige,12
AVHLY,D47G,Bengaluru Sarige,23
AVHLY,DDPYGT,Bengaluru Sarige,27
AVHLY,DHGS,Bengaluru Sarige,27
AVHLY,DHLG,Bengaluru Sarige,27
AVHLY,DSH-2,Bengaluru Sarige,31
AVHLY,DSHG1,Bengaluru Sarige,31
AVHLY,GKL1,Bengaluru Sarige,30
AVHLY,GND,Bengaluru Sarige,12
AVHLY,GPRC,Bengaluru Sarige,31
AVHLY,HBL BRI,Bengaluru Sarige,30
AVHLY,HLSH1,Bengaluru Sarige,31
AVHLY,HLSHCR,Bengaluru Sarige,27
AVHLY,HNDG1,Bengaluru Sarige,33
AVHLY,HTLE1,Bengaluru Sarige,27
AVHLY,JDH1,Bengaluru Sarige,27
AVHLY,KLTG1,Bengaluru Sarige,27
AVHLY,KMRSHLI,Bengaluru Sarige,31
AVHLY,KRPGT1,Bengaluru Sarige,33
AVHLY,KSG,Bengaluru Sarige,33
AVHLY,KSTRR,Bengaluru Sarige,23
AVHLY,KTGHLC2,Bengaluru Sarige,31
AVHLY,MC,Bengaluru Sarige,28
AVHLY,MDR,Bengaluru Sarige,18
AVHLY,MJH-1,Bengaluru Sarige,27
AVHLY,MKHG-1,Bengaluru Sarige,31
AVHLY,MLURCS1,Bengaluru Sarige,26
AVHLY,MNHPG,Bengaluru Sarige,28
AVHLY,NBS,Bengaluru Sarige,18
AVHLY,NDG1,Bengaluru Sarige,33
AVHLY,NLVL,Bengaluru Sarige,33
AVHLY,PFM-1,Bengaluru Sarige,18
AVHLY,PLGPFCGT,Bengaluru Sarige,27
AVHLY,SDHG-3,Bengaluru Sarige,26
AVHLY,SDTN,Bengaluru Sarige,26
AVHLY,SLR2,Bengaluru Sarige,27
AVHLY,STHGT,Bengaluru Sarige,26
AVHLY,SVNPC,Bengaluru Sarige,33
AVLBDAl,AVB1,Bengaluru Sarige,6
AVLBDAl,DPKNH,Bengaluru Sarige,23
AVLBDAl,GLF,Bengaluru Sarige,6
AVLBDAl,HUSM,Bengaluru Sarige,23
AVLBDAl,JRGH1,Bengaluru Sarige,18
AVLBDAl,KNB1,Bengaluru Sarige,12
AVLBDAl,KNC,Bengaluru Sarige,6
AVLBDAl,MKLK,Bengaluru Sarige,28
AVLBDAl,MTR,Bengaluru Sarige,18
AVLBDAl,NDT,Bengaluru Sarige,23
AVLBDAl,NRC KKC,Bengaluru Sarige,12
AVLBDAl,SDMKMT,Bengaluru Sarige,12
AVLBDAl,SECRL,Bengaluru Sarige,23
AVLBDAl,SRK1,Bengaluru Sarige,23
AVLBDAl,TPS4,Bengaluru Sarige,6
AVLBDAl,YDR,Bengaluru Sarige,23
AVLBDAl,YLCH2,Bengaluru Sarige,18
AVLH-2,APXB,Bengaluru Sarige,12
AVLH-2,ATGP,Bengaluru Sarige,18
AVLH-2,BNGH,Bengaluru Sarige,18
AVLH-2,BRP,Bengaluru Sarige,30
AVLH-2,CBI,Bengaluru Sarige,28
AVLH-2,CLO,Bengaluru Sarige,23
AVLH-2,CMRJPT,Bengaluru Sarige,18
AVLH-2,CNRBK1,Bengaluru Sarige,28
AVLH-2,GKVK,Bengaluru Sarige,30
AVLH-2,HBL,Bengaluru Sarige,28
AVLH-2,HNTMWRD,Bengaluru Sarige,12
AVLH-2,JAD1,Bengaluru Sarige,30
AVLH-2,JDSO,Bengaluru Sarige,24
AVLH-2,KBS1,Bengaluru Sarige,24
AVLH-2,kdg2,Bengaluru Sarige,30
AVLH-2,MDF,Bengaluru Sarige,30
AVLH-2,MHC,Bengaluru Sarige,24
AVLH-2,MKC,Bengaluru Sarige,28
AVLH-2,MKLK2,Bengaluru Sarige,23
AVLH-2,NES,Bengaluru Sarige,30
AVLH-2,NIRMS,Bengaluru Sarige,12
AVLH-2,PLCGR,Bengaluru Sarige,28
AVLH-2,RMGTH,Bengaluru Sarige,28
AVLH-2,STMH,Bengaluru Sarige,24
AVLH-2,SUBST,Bengaluru Sarige,12
AVLH-2,SVHTL,Bengaluru Sarige,30
AVLH-2,SVNDS,Bengaluru Sarige,24
AVLH-2,VTRNC1,Bengaluru Sarige,28
AVLH-2,YST,Bengaluru Sarige,30
AVLHIHSK,D38CHKNML,Bengaluru Sarige,12
AVLHIHSK,DDMD1,Bengaluru Sarige,12
AVLHIHSK,ELC,Bengaluru Sarige,18
AVLHIHSK,HSKU,Bengaluru Sarige,6
AVLHIHSK,KRMA,Bengaluru Sarige,30
AVLHIHSK,MDWL,Bengaluru Sarige,28
AVLHL,AMRH1,Bengaluru Sarige,24
AVLHL,JKLCRS,Bengaluru Sarige,24
AVLHL,JKRAT,Bengaluru Sarige,24
AVLHL,JKRD5,Bengaluru Sarige,24
AVLHOKOT,asfasdfas,Bengaluru Sarige,30
AVLHOKOT,BDC-1,Bengaluru Sarige,6
AVLHOKOT,BDPG,Bengaluru Sarige,6
AVLHOKOT,BGH-1,Bengaluru Sarige,23
AVLHOKOT,BGLRS1,Bengaluru Sarige,28
AVLHOKOT,BLGC,Bengaluru Sarige,30
AVLHOKOT,BNM,Bengaluru Sarige,24
AVLHOKOT,BTH,Bengaluru Sarige,12
AVLHOKOT,BYPHL,Bengaluru Sarige,18
AVLHOKOT,BYPMETRO,Bengaluru Sarige,24
AVLHOKOT,CHKKN,Bengaluru Sarige,24
AVLHOKOT,CKGS2,Bengaluru Sarige,24
AVLHOKOT,CMHG-1,Bengaluru Sarige,6
AVLHOKOT,CPL,Bengaluru Sarige,6
AVLHOKOT,CUNTY,Bengaluru Sarige,28
AVLHOKOT,DDPYGT,Bengaluru Sarige,26
AVLHOKOT,DEPOT06-HSK,Bengaluru Sarige,24
AVLHOKOT,DWRNG,Bengaluru Sarige,30
AVLHOKOT,EPC2,Bengaluru Sarige,12
AVLHOKOT,ESRT1,Bengaluru Sarige,30
AVLHOKOT,GDOR,Bengaluru Sarige,23
AVLHOKOT,HRNH1,Bengaluru Sarige,6
AVLHOKOT,HSKBEO,Bengaluru Sarige,26
AVLHOKOT,HSKKD,Bengaluru Sarige,12
AVLHOKOT,HSKTHSS,Bengaluru Sarige,21
AVLHOKOT,HSKTT,Bengaluru Sarige,21
AVLHOKOT,ITIG,Bengaluru Sarige,23
AVLHOKOT,KATGN,Bengaluru Sarige,28
AVLHOKOT,KEDVHR,Bengaluru Sarige,30
AVLHOKOT,KKEB,Bengaluru Sarige,26
AVLHOKOT,KRPE,Bengaluru Sarige,18
AVLHOKOT,MC,Bengaluru Sarige,28
AVLHOKOT,MDHL1,Bengaluru Sarige,6
AVLHOKOT,MJH-1,Bengaluru Sarige,26
AVLHOKOT,MLURCS1,Bengaluru Sarige,26
AVLHOKOT,MNHPG,Bengaluru Sarige,28
AVLHOKOT,MRHL2,Bengaluru Sarige,24
AVLHOKOT,MRNHB,Bengaluru Sarige,28
AVLHOKOT,MRS,Bengaluru Sarige,23
AVLHOKOT,NES1,Bengaluru Sarige,30
AVLHOKOT,NGEF,Bengaluru Sarige,24
AVLHOKOT,PALH,Bengaluru Sarige,30
AVLHOKOT,RMPR1,Bengaluru Sarige,23
AVLHOKOT,RVCLR,Bengaluru Sarige,28
AVLHOKOT,SCH,Bengaluru Sarige,12
AVLHOKOT,SJESC,Bengaluru Sarige,12
AVLHOKOT,SRML-1,Bengaluru Sarige,6
AVLHOKOT,SRVC,Bengaluru Sarige,28
AVLHOKOT,STHGT,Bengaluru Sarige,26
AVLHOKOT,STNC1,Bengaluru Sarige,28
AVLHOKOT,STNR,Bengaluru Sarige,28
AVLHOKOT,SVMS,Bengaluru Sarige,24
AVLHOKOT,TAMPLYA,Bengaluru Sarige,18
AVLHOKOT,TNF1,Bengaluru Sarige,23
AVLHOKOT,VJYSCL,Bengaluru Sarige,28
AVLHOKOT,VTHL1,Bengaluru Sarige,30
AVLHOKOT,WHEL,Bengaluru Sarige,30
avlkup,AMH1,Bengaluru Sarige,28
avlkup,ANC,Bengaluru Sarige,30
avlkup,ANT,Bengaluru Sarige,24
avlkup,BDYNG,Bengaluru Sarige,12
avlkup,BNMG,Bengaluru Sarige,24
avlkup,BPIS,Bengaluru Sarige,23
avlkup,CKTND2,Bengaluru Sarige,6
avlkup,CMT,Bengaluru Sarige,30
avlkup,CNTRL,Bengaluru Sarige,30
avlkup,DF,Bengaluru Sarige,30
avlkup,DRMNT,Bengaluru Sarige,6
avlkup,DVN,Bengaluru Sarige,28
avlkup,GGPL,Bengaluru Sarige,30
avlkup,GNPLYH,Bengaluru Sarige,12
avlkup,GRH,Bengaluru Sarige,18
avlkup,GRVCROSS,Bengaluru Sarige,12
avlkup,HNDGT,Bengaluru Sarige,18
